Session,Date of Measurement,Sample ID,Temperature,δ13C,δ13C standard deviation,δ18O,δ18O standard deviation,δ47,δ47 standard deviation,Δ47,Δ47 standard error,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49,Δ49 standard deviation
n/a,"mm/dd/yy, time",n/a,°C,"‰, VPDB",‰,"‰, VPDB",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
2,1-22-22 2:43 PM,BOC_25degC,25,-10.29,0.00,-0.02,0.01,-0.547,0.024,-0.002,0.005,12.748,0.080,1.028,0.072,-1.514,0.678,-6.457,0.691
2,1-24-22 1:46 PM,EBOC_hg,1000,-10.27,0.01,42.69,0.01,42.389,0.031,-0.783,0.005,108.138,0.145,7.512,0.116,-15.134,0.989,-98.654,0.932
2,1-25-22 2:47 PM,EBOC_25degC,25,-10.57,0.01,38.12,0.01,38.280,0.015,0.055,0.004,97.939,0.089,7.036,0.071,-12.588,0.456,-88.081,0.432
2,1-26-22 2:44 PM,BOC_25degC,25,-10.68,0.00,-1.18,0.01,-2.094,0.030,0.026,0.007,10.147,0.064,0.783,0.058,-0.844,0.984,-3.078,0.999
2,1-27-22 1:44 PM,BOC_hg,1000,-10.52,0.00,-1.52,0.01,-3.141,0.023,-0.826,0.009,9.117,0.095,0.444,0.085,-0.885,0.648,-2.600,0.661
2,1-31-22 1:08 PM,BOC_hg,1000,-10.61,0.01,-1.28,0.01,-2.958,0.024,-0.803,0.004,9.610,0.087,0.451,0.079,-1.939,0.914,-4.040,0.941
3,3-14-22 2:08 PM,EBOC_25degC,25,-10.48,0.00,38.60,0.01,38.859,0.026,0.048,0.008,99.189,0.126,7.259,0.115,-15.070,0.504,-91.290,0.476
3,3-15-22 2:51 PM,BOC_hg,1000,-10.57,0.01,-1.65,0.02,-3.302,0.035,-0.810,0.006,8.866,0.124,0.461,0.095,-1.835,0.830,-3.237,0.868
3,3-16-22 3:52 PM,EBOC_hg,1000,-10.47,0.01,44.04,0.02,43.578,0.034,-0.770,0.007,111.078,0.143,7.583,0.100,-16.942,0.718,-102.451,0.688
3,3-17-22 2:33 PM,BOC_25degC,25,-10.86,0.01,-1.81,0.02,-2.901,0.036,0.039,0.007,8.892,0.191,0.802,0.157,-2.035,1.124,-2.825,1.167
3,3-18-22 1:00 PM,EBOC_25degC,25,-10.69,0.01,37.89,0.01,37.921,0.033,0.053,0.007,97.301,0.166,6.892,0.130,-14.135,0.617,-89.001,0.585
3,3-21-22 3:02 PM,BOC_25degC,25,-10.41,0.01,-1.06,0.02,-1.704,0.034,0.022,0.009,10.531,0.140,0.926,0.104,-3.047,0.695,-5.787,0.734
3,3-22-22 2:17 PM,BOC_hg,1000,-10.41,0.01,-1.49,0.02,-2.986,0.040,-0.807,0.003,9.136,0.148,0.410,0.110,-1.755,1.008,-3.632,1.064
3,3-24-22 11:46 AM,EBOC_25degC,25,-10.60,0.00,38.07,0.01,38.214,0.030,0.069,0.009,97.836,0.097,7.045,0.087,-15.449,0.652,-90.603,0.607
3,3-25-22 1:04 PM,EBOC_hg,1000,-10.37,0.01,44.37,0.02,44.021,0.041,-0.773,0.008,111.771,0.149,7.573,0.101,-17.180,1.090,-103.329,1.046
3,3-28-22 12:27 PM,BOC_25degC,25,-10.33,0.01,-0.68,0.02,-1.251,0.031,0.016,0.007,11.242,0.076,0.865,0.067,-1.291,0.678,-4.875,0.710
3,3-29-22 1:22 PM,EBOC_hg,1000,-10.21,0.01,44.06,0.02,43.876,0.039,-0.761,0.009,111.048,0.138,7.513,0.105,-17.848,0.646,-103.549,0.628
3,4-1-22 3:59 PM,EBOC_25degC,25,-10.68,0.01,38.73,0.03,38.777,0.041,0.039,0.008,99.562,0.142,7.350,0.087,-15.278,0.782,-91.523,0.775
3,4-4-22 1:09 PM,BOC_25degC,25,-10.68,0.01,-1.79,0.01,-2.687,0.020,0.045,0.005,8.930,0.108,0.789,0.106,-3.370,0.966,-4.396,0.991
3,4-5-22 2:46 PM,EBOC_25degC,25,-10.65,0.01,37.59,0.02,37.697,0.049,0.087,0.008,96.801,0.166,7.025,0.118,-17.586,0.872,-91.691,0.855
