Session,Date of Measurement,Sample ID,δ13C,δ13C standard deviation,δ13C,δ18Omineral,δ18O standard deviation,δ18Omineral,δ47,δ47 standard deviation,Δ47,Δ47 standard error,Δ47,Δ47,δ48,δ48 standard deviation,Δ48,Δ48 standard deviation,δ49,δ49 standard deviation,Δ49 ,Δ49 standard deviation
,mm/dd/yy time,,"‰, VPDB",‰,"‰, VPDB, corrected to standards","‰, VPDB",‰,"‰, VPDB, corrected to standards","‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, CDES","‰, I-CDES","‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰,"‰, vs. working gas",‰
1,8-9-21 1:52 PM,TRV1,1.35,0.00,1.12,-9.88,0.01,-9.63,8.783,0.018,-0.290,0.005,0.588,0.602,8.962,0.057,0.709,0.054,-2.705,0.686,-15.757,0.671
1,8-10-21 3:42 AM,ETH3,1.70,0.00,1.47,-1.93,0.01,-1.63,17.396,0.022,-0.320,0.006,0.549,0.563,26.790,0.079,2.237,0.079,-4.552,0.297,-33.514,0.281
1,8-10-21 2:20 PM,ETH4,-9.98,0.00,-10.22,-19.02,0.00,-18.82,-11.885,0.023,-0.444,0.007,0.447,0.457,-11.394,0.087,-1.112,0.085,1.571,0.651,18.468,0.659
1,8-11-21 3:02 PM,ETH2,-9.88,0.00,-10.13,-18.90,0.01,-18.70,-11.905,0.017,-0.680,0.007,0.205,0.208,-11.169,0.081,-1.129,0.086,1.665,0.419,18.217,0.418
1,8-13-21 2:25 PM,CAR1,4.57,0.00,4.36,-5.00,0.01,-4.71,16.769,0.021,-0.572,0.008,0.291,0.296,19.751,0.079,1.496,0.083,-4.014,0.675,-29.806,0.645
1,8-13-21 5:50 PM,ETH3,1.97,0.00,1.75,-1.94,0.01,-1.64,17.667,0.024,-0.304,0.008,0.566,0.580,26.907,0.110,2.377,0.121,-4.894,0.730,-34.081,0.700
1,8-19-21 8:15 PM,CAR1,4.54,0.01,4.32,-5.05,0.01,-4.77,16.685,0.019,-0.566,0.007,0.298,0.303,19.639,0.078,1.491,0.073,-3.619,0.382,-29.284,0.352
1,8-19-21 11:38 PM,ETH2,-9.89,0.01,-10.13,-18.94,0.01,-18.74,-11.944,0.020,-0.662,0.006,0.223,0.227,-11.323,0.095,-1.187,0.089,1.930,0.591,18.593,0.591
1,8-21-21 3:53 AM,ETH4,-9.96,0.00,-10.21,-19.05,0.01,-18.85,-11.917,0.029,-0.450,0.008,0.442,0.451,-11.463,0.094,-1.109,0.101,2.408,0.622,19.380,0.620
1,8-21-21 7:16 AM,CAR1,4.50,0.01,4.28,-5.05,0.01,-4.77,16.643,0.022,-0.563,0.005,0.301,0.307,19.573,0.080,1.435,0.086,-3.419,0.796,-29.043,0.758
1,8-24-21 2:09 AM,ETH1,2.24,0.01,2.02,-2.56,0.01,-2.26,16.947,0.031,-0.641,0.007,0.221,0.224,25.084,0.062,1.828,0.060,-4.153,0.447,-32.434,0.415
1,8-24-21 5:33 AM,CAR1,4.47,0.01,4.26,-5.04,0.01,-4.75,16.621,0.020,-0.572,0.008,0.291,0.296,19.506,0.093,1.335,0.088,-3.145,0.570,-28.784,0.540
1,8-25-21 12:22 AM,ETH2,-9.77,0.01,-10.01,-18.77,0.01,-18.57,-11.654,0.018,-0.671,0.007,0.215,0.218,-10.819,0.094,-1.027,0.102,2.178,0.769,18.363,0.756
1,8-25-21 3:46 AM,TRV1,1.27,0.00,1.05,-9.84,0.01,-9.58,8.723,0.028,-0.319,0.008,0.558,0.572,8.992,0.067,0.649,0.060,-1.640,0.395,-14.719,0.374
1,8-25-21 11:00 PM,ETH3,1.90,0.01,1.68,-2.06,0.01,-1.76,17.455,0.030,-0.320,0.009,0.550,0.563,26.358,0.060,2.085,0.075,-3.542,0.668,-32.471,0.630
1,8-26-21 2:22 AM,TRV1,1.36,0.01,1.14,-9.84,0.01,-9.58,8.851,0.014,-0.281,0.007,0.597,0.612,9.006,0.091,0.655,0.100,-2.074,0.361,-15.241,0.346
