DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
265,1.23981497,0.052937353,2.383562136,0.190234627,24.4502013,0,75.5497987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2.109688936,0.068832265,2.042345957,0.200839201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2.129708138,0.057430801,2.399019334,0.163991698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,1.984952894,0.080710881,1.736973339,0.186906639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2.087556862,0.071816286,1.181685236,0.103771935,39.1033909,0,60.8966091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,2.32758822,0.049486349,1.932599406,0.134524613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2.198094455,0.104187717,2.243776756,0.223896171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2.28191201,0.089476336,2.452469266,0.244507765,22.40219442,0,77.59780558,,,,,,,,160.5023216,,3.364262236,304.9313194,,1016.01832,96.63573776,681.8070527,1666.858666,,3262.344756,0.59885571,,166.3228334,,34.81790824,315.5474063,,1052.859267,705.5324219,1725.689,,3375.848114,0.620574585,,4586.495475,,9095.216827,,29036.88558,28.82476991,20346.63237,49028.0531,,97372.21763,17.11148864
305,1.970259016,0.046400483,1.616968382,0.197029543,22.18993333,0,77.81006667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2.124715339,0.059144754,1.945573288,0.087509514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2.029982018,0.032869786,2.06292222,0.210919264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,1.949009609,0.077096198,1.663352796,0.213432014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,1.919144111,0.082051814,1.924988349,0.089324389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1.823315367,0.070769328,1.674822831,0.220730764,27.63477841,0,72.36522159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2.06130735,0.05946599,1.92910165,0.15105893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,1.937674104,0.078954428,1.664352489,0.130981622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,1.999531818,0.079635659,1.945017102,0.201095136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1.992356109,0.100499631,2.162721074,0.174348864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1.953060289,0.098938665,2.373397827,0.232916974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,1.865681557,0.087180251,2.27113077,0.207129262,19.6743709,0,80.3256291,,,,,,,15.16848706,156.6149442,33900.47935,3.042948938,168.0098687,916.3767968,818.6565493,96.95705106,850.6069288,982.0762335,,3093.689633,0.569340522,15.64502293,161.53339,34963.93218,31.38501528,173.2830878,945.1569242,844.3615084,877.3084531,1012.937571,,3190.806742,0.58720748,498.250816,5146.275385,1115150.169,5523.835316,30109.99353,26905.35548,31.87941207,27962.16083,32250.61712,,101696.7435,18.72141329
365,1.814743044,0.03831711,2.344577312,0.112377316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1.915993675,0.081567561,2.127934674,0.182780309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,2.0516896,0.068868855,2.290441958,0.170755266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,2.021549345,0.075741214,1.952388524,0.181481035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1.846520098,0.104137419,1.671077858,0.254571824,24.20840952,0,75.79159048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,1.890016209,0.075284678,1.725715337,0.268139033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,2.138147449,0.05860479,1.669796443,0.206386539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,2.187775436,0.075978348,1.922732752,0.159647887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,2.075284885,0.084294023,1.631624457,0.170479059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,2.114988735,0.053765838,1.648021995,0.124729685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,2.107401309,0.059800107,1.661599307,0.183364275,29.9573523,0,70.0426477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,1.93518839,0.065986211,1.589643018,0.208983961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,2.010252308,0.037940817,1.598708913,0.1909143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,2.008622177,0.063008779,1.673887279,0.149875101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,2.281613837,0.057488362,1.694061004,0.134160879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,2.377379871,0.103708694,1.681343997,0.255695695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,2.23126458,0.08545865,1.405569225,0.118937074,30.94317848,0,69.05682152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,2.149523694,0.057187626,1.405321153,0.108122094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,2.38711452,0.053226745,1.457156902,0.166936287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,2.334249919,0.050688981,1.347597328,0.12327965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,2.209826679,0.08501194,1.476785076,0.165190341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,1.963950713,0.060403639,1.444229955,0.143321662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,1.948094321,0.047456182,1.839834158,0.242303061,21.95016477,0,78.04983523,,,,,,,15.91971042,171.4119823,31626.44916,2.39291392,190.9577619,887.5115563,1054.694182,97.60708608,885.4297167,1098.536009,,3477.286963,0.823896565,16.3102118,175.6184956,32401.61603,24.51614298,195.6375312,909.2761711,1080.556724,907.1414913,1125.457106,,3562.560292,0.844097533,665.3250867,7160.61926,1322768.096,7987.793271,37100.57497,44092.50091,40.81465287,37016.52271,45952.83028,,145362.1497,34.44728295
485,1.930799708,0.042127324,1.739151605,0.145082482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
