DEPTH [CM],"d13C (‰, vpdb)",d13C st dev (‰),"d18O (‰, vpdb)",d18O std dev (‰),% ARAGONITE,% HMC,% LMC,MCMC AGE [KA],MCMC LOWER BOUND [KA],MCMC UPPER BOUND [KA],RADIOCARBOON AGE [KA],RADIOCARBON AGE UNCERTAINTY [KA],CALIBRATED  RADIOCARBON AGE (CAL. B.P.) [KA],CALIBRATED  RADIOCARBON AGE 1𝜎 [KA],"d44Ca (‰, SW)",d44Ca 2 S.E. (‰),Li/(Ca+Mg) (umol/mol),B/(Ca+Mg) (umol/mol),Na/(Ca+Mg) (umol/mol),Mg/(Ca+Mg) (mole %),Al/(Ca+Mg) (umol/mol),P/(Ca+Mg) (umol/mol),K/(Ca+Mg) (umol/mol),Ca/(Ca+Mg) (mole %),Mn/(Ca+Mg) (umol/mol),Fe/(Ca+Mg) (umol/mol),Rb/(Ca+Mg) (umol/mol),Sr/(Ca+Mg) (umol/mol),U/(Ca+Mg) (umol/mol),Li/Ca (umol/mol),B/Ca (umol/mol),Na/Ca (umol/mol),Mg/Ca (mmol/mol),Al/Ca (umol/mol),P/Ca (umol/mol),K/Ca (umol/mol),Mn/Ca (umol/mol),Fe/Ca (umol/mol),Rb/Ca (umol/mol),Sr/Ca (umol/mol),U/Ca (umol/mol),Li/Mg (umol/mol),B/Mg (umol/mol),Na/Mg (umol/mol),Al/Mg (umol/mol),P/Mg (umol/mol),K/Mg (umol/mol),Ca/Mg (mol/mol),Mn/Mg (umol/mol),Fe/Mg (umol/mol),Rb/Mg (umol/mol),Sr/Mg (umol/mol),U/Mg (umol/mol)
303,2.517723636,0.063733528,0.374499257,0.107068795,43.82513389,14.78028538,41.39458074,134.0389208,128.9776193,137.5732131,,,,,-1.10817047,0.04573733,13.25077369,236.6166547,39708.32805,2.873594622,178.047514,896.3708719,779.4467763,97.12640538,363.2423449,1063.444508,,5748.534024,0.872205947,13.64505074,243.6187829,40889.8502,29.58615941,183.3167718,922.8888796,802.5081433,373.9900661,1094.942346,,5918.628898,0.898013064,458.5797668,8232.651747,1374216.8,6194.444644,31196.7961,27124.67898,33.80068912,12640.19813,36969.07413,,200032.5756,30.35120586
309,1.805532769,0.040324031,0.403307473,0.155632306,,,,134.1943822,129.0912067,137.6393456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,1.661857738,0.032556156,0.789996903,0.144264061,30.78840173,14.37992326,54.83167501,134.3511983,129.2061042,137.7022548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1.995977018,0.042698114,0.854141499,0.1453255,,,,134.5040731,129.3828273,137.7755905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,1.934442041,0.066844673,1.828963542,0.165673029,26.34958889,10.74038937,62.91002174,134.8680633,129.7354014,137.9276986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,1.982156405,0.05342431,1.318081669,0.060495271,,,,135.1110909,129.9976572,138.0466352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1.925807463,0.060355199,1.229213401,0.092992906,,,,135.3323704,130.2445117,138.1554769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1.864626905,0.071392555,2.665553288,0.093633985,14.52476696,5.140114882,80.33511816,135.5939501,130.6728314,138.3247232,,,,,-0.79,0.06,16.23633607,133.8134748,35026.44138,2.67731506,310.8002526,920.4346407,1175.05245,97.32268494,676.3605231,1481.845692,,2589.477889,0.449513504,16.68299513,137.4948225,35989.82944,27.50970564,319.3571243,945.7564679,1207.383052,694.967599,1522.618477,,2660.715983,0.461876667,606.4649228,4998.033192,1308562.002,11600.11942,34379.29856,43884.21095,36.352508,25262.97294,55340.54803,,96720.42937,16.79418469
378,2.074621061,0.036271932,2.652873831,0.143523819,,,,136.0773256,131.4882127,138.6595631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,2.122007616,0.063303694,2.354215089,0.347184204,,,,136.3812014,132.4301784,138.899406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,2.008447102,0.059395833,2.912582553,0.15562268,31.28412591,9.49790725,59.21796684,136.6981503,133.6982271,139.165704,,,,,,,,119.3619303,,2.641074475,174.3903162,,819.7665373,97.35892553,837.3726081,1856.416409,,2637.825432,0.50586247,,122.7500746,,27.1302707,179.340621,,843.0363912,860.0668402,1907.23416,,2709.262863,0.520222363,,4324.41056,,6317.864527,,29699.1532,37.0256536,31875.84606,69943.61163,,100487.5775,18.32616059
399,2.096596539,0.058768592,1.606717534,0.212210167,32.67216741,11.12834594,56.19948665,136.7470476,134.2505472,139.1876194,,,,,,,14.1137083,200.8800728,52326.3066,3.112878455,155.1403609,787.3472051,975.0847786,96.88712154,484.8742647,1162.346581,,4454.589436,0.918295341,14.56429012,207.3323189,53996.83018,32.128959,160.126689,812.6544919,1006.407312,500.4513593,1199.663493,,4597.697048,0.947794842,456.2015898,6455.202129,1691358.766,4982.238894,25283.86753,31331.14032,31.12582183,15578.35091,37368.53606,,143120.6271,29.5052292
,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
